product_brand,product_title,product_model,product_url,product_price,product_price_original,product_discount,product_discount_percentage,product_rating_average,product_reviews_number,product_rating_5,product_rating_4,product_rating_3,product_rating_2,product_rating_1
GE,23 cu. ft. Side by Side Refrigerator in Fingerprint Resistant Stainless Steel,Model # GSS23GYPFS,https://www.homedepot.com/p/GE-23-cu-ft-Side-by-Side-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-GSS23GYPFS/317987122,1618.0,1799.0,181.0,10.06,4.5,1828,1143,436,148,43,58
GE,17.5 cu. ft. Top Freezer Refrigerator in White,Model # GTS18DTNRWW,https://www.homedepot.com/p/GE-17-5-cu-ft-Top-Freezer-Refrigerator-in-White-GTS18DTNRWW/311102124,768.0,849.0,81.0,9.54,4.38,111,64,34,5,7,1
GE,"17.5 cu. ft. Top Freezer Refrigerator in White, ENERGY STAR",Model # GTE18DTNRWW,https://www.homedepot.com/p/GE-17-5-cu-ft-Top-Freezer-Refrigerator-in-White-ENERGY-STAR-GTE18DTNRWW/311102066,788.0,879.0,91.0,10.35,4.33,272,165,69,14,10,14
GE,"15.6 cu. ft. Top Freezer Refrigerator in White, ENERGY STAR",Model # GTE16DTNLWW,https://www.homedepot.com/p/GE-15-6-cu-ft-Top-Freezer-Refrigerator-in-White-ENERGY-STAR-GTE16DTNLWW/311067719,718.0,799.0,81.0,10.14,4.5,301,192,72,20,10,7
GE,"16.6 cu. ft. Top Freezer Refrigerator in White, ENERGY STAR",Model # GPE17CTNRWW,https://www.homedepot.com/p/GE-16-6-cu-ft-Top-Freezer-Refrigerator-in-White-ENERGY-STAR-GPE17CTNRWW/311067767,718.0,799.0,81.0,10.14,4.3,207,113,61,15,7,11
GE,"19.2 cu. ft. Top Freezer Refrigerator in White, ENERGY STAR",Model # GTE19DTNRWW,https://www.homedepot.com/p/GE-19-2-cu-ft-Top-Freezer-Refrigerator-in-White-ENERGY-STAR-GTE19DTNRWW/312293338,898.0,999.0,101.0,10.11,4.3,169,93,51,14,4,7
GE,"21.1 cu. ft. Standard Top Freezer Refrigerator in Bisque, ENERGY STAR",Model # GTE21GTHCC,https://www.homedepot.com/p/GE-21-1-cu-ft-Standard-Top-Freezer-Refrigerator-in-Bisque-ENERGY-STAR-GTE21GTHCC/205527279,1308.0,1449.0,141.0,9.73,3.7,484,186,118,75,47,58
GE,"19.2 cu. ft. Top Freezer Refrigerator in Stainless Steel, ENERGY STAR",Model # GTE19JSNRSS,https://www.homedepot.com/p/GE-19-2-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-ENERGY-STAR-GTE19JSNRSS/312293339,1148.0,1279.0,131.0,10.24,4.23,228,134,46,24,15,9
GE,"11.6 cu. ft. Top Freezer Refrigerator in Stainless Steel, ENERGY STAR",Model # GPE12FSKSB,https://www.homedepot.com/p/GE-11-6-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-ENERGY-STAR-GPE12FSKSB/206863716,1078.0,1199.0,121.0,10.09,4.32,171,111,31,11,8,10
GE,"15.6 cu. ft. Top Freezer Refrigerator in White, ENERGY STAR",Model # GTE16DTNRWW,https://www.homedepot.com/p/GE-15-6-cu-ft-Top-Freezer-Refrigerator-in-White-ENERGY-STAR-GTE16DTNRWW/311067781,718.0,799.0,81.0,10.14,4.4,319,191,80,26,12,10
GE,33 in. 21.9 cu. ft. Top Freezer Refrigerator in Slate,Model # GIE22JMNRES,https://www.homedepot.com/p/GE-33-in-21-9-cu-ft-Top-Freezer-Refrigerator-in-Slate-GIE22JMNRES/320206516,1699.0,1699.0,0.0,0.0,3.6,9,3,2,2,1,1
GE,"25.6 cu. ft. French Door Refrigerator in Black, ENERGY STAR",Model # GFE26JGMBB,https://www.homedepot.com/p/GE-25-6-cu-ft-French-Door-Refrigerator-in-Black-ENERGY-STAR-GFE26JGMBB/312293331,2338.0,2599.0,261.0,10.04,4.3,4864,2718,1283,442,209,212
GE,"24.8 cu. ft. Bottom Freezer Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth ENERGY STAR",Model # GDE25EYKFS,https://www.homedepot.com/p/GE-24-8-cu-ft-Bottom-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Standard-Depth-ENERGY-STAR-GDE25EYKFS/319240123,1888.0,2099.0,211.0,10.05,4.5,575,378,126,44,13,14
GE,"16.6 cu. ft. Top Freezer Refrigerator in White, ENERGY STAR",Model # GTE17DTNRWW,https://www.homedepot.com/p/GE-16-6-cu-ft-Top-Freezer-Refrigerator-in-White-ENERGY-STAR-GTE17DTNRWW/311067815,718.0,799.0,81.0,10.14,4.4,683,422,164,43,20,34
GE,"17.7 cu. ft. Bottom Freezer Refrigerator in Fingerprint Resistant Stainless Steel, Counter Depth",Model # GBE17HYRFS,https://www.homedepot.com/p/GE-17-7-cu-ft-Bottom-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Counter-Depth-GBE17HYRFS/318378032,1618.0,1799.0,181.0,10.06,0.0,0,0,0,0,0,0
GE,"16.6 cu. ft. Top Freezer Refrigerator in Stainless Steel, ENERGY STAR",Model # GTE17GSNRSS,https://www.homedepot.com/p/GE-16-6-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-ENERGY-STAR-GTE17GSNRSS/311102087,838.0,929.0,91.0,9.8,4.2,729,372,213,75,32,37
GE,"16.6 cu. ft. Top Freezer Refrigerator in Stainless Steel, ENERGY STAR",Model # GIE17GSNRSS,https://www.homedepot.com/p/GE-16-6-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-ENERGY-STAR-GIE17GSNRSS/311102031,908.0,1009.0,101.0,10.01,4.1,165,76,49,20,11,9
GE,"17.5 cu. ft. Top Freezer Refrigerator in Stainless Steel, ENERGY STAR",Model # GTE18GSNRSS,https://www.homedepot.com/p/GE-17-5-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-ENERGY-STAR-GTE18GSNRSS/312036574,898.0,999.0,101.0,10.11,4.4,1854,1144,450,130,59,71
GE,"23.0 cu. ft. Side by Side Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Model # GSE23GYPFS,https://www.homedepot.com/p/GE-23-0-cu-ft-Side-by-Side-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Standard-Depth-GSE23GYPFS/318427836,1708.0,1899.0,191.0,10.06,4.4,358,221,85,25,14,13
GE,"28.7 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel, ENERGY STAR",Model # GNE29GYNFS,https://www.homedepot.com/p/GE-28-7-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR-GNE29GYNFS/312648555,2278.0,2529.0,251.0,9.92,4.5,1020,699,207,40,24,50
GE,"21 cu. ft. Bottom Freezer Refrigerator in White, ENERGY STAR",Model # GDE21EGKWW,https://www.homedepot.com/p/GE-21-cu-ft-Bottom-Freezer-Refrigerator-in-White-ENERGY-STAR-GDE21EGKWW/206867758,1708.0,1899.0,191.0,10.06,4.31,996,610,235,58,38,55
GE,"21 cu. ft. Bottom Freezer Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth ENERGY STAR",Model # GBE21DYKFS,https://www.homedepot.com/p/GE-21-cu-ft-Bottom-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Standard-Depth-ENERGY-STAR-GBE21DYKFS/319236591,1398.0,1549.0,151.0,9.75,4.08,384,203,85,49,19,28
GE,"17.5 cu. ft. Top Freezer Refrigerator in White, ENERGY STAR",Model # GIE18DTNRWW,https://www.homedepot.com/p/GE-17-5-cu-ft-Top-Freezer-Refrigerator-in-White-ENERGY-STAR-GIE18DTNRWW/311102059,868.0,959.0,91.0,9.49,4.16,208,109,57,19,12,11
Whirlpool,21 cu. ft. Side-by-Side Refrigerator Built-In and Standard in Monochromatic Stainless Steel,Model # WRS331SDHM,https://www.homedepot.com/p/Whirlpool-21-cu-ft-Side-by-Side-Refrigerator-Built-In-and-Standard-in-Monochromatic-Stainless-Steel-WRS331SDHM/305505697,1529.0,1699.0,170.0,10.01,4.0,334,150,104,37,17,26
Whirlpool,18.2 cu. ft. Top Freezer Refrigerator in Stainless Steel,Model # WRT348FMES,https://www.homedepot.com/p/Whirlpool-18-2-cu-ft-Top-Freezer-Refrigerator-in-Stainless-Steel-WRT348FMES/206488350,989.0,1099.0,110.0,10.01,3.9,229,95,70,30,11,23
Whirlpool,17.7 cu. ft. SideKicks Freezerless Refrigerator in Monochromatic Stainless Steel,Model # WSR57R18DM,https://www.homedepot.com/p/Whirlpool-17-7-cu-ft-SideKicks-Freezerless-Refrigerator-in-Monochromatic-Stainless-Steel-WSR57R18DM/205744994,2654.0,2949.0,295.0,10.0,3.2,252,95,36,15,13,93
Whirlpool,26 cu. ft. French Door Refrigerator in Fingerprint Resistant Stainless Steel,Model # WRX986SIHZ,https://www.homedepot.com/p/Whirlpool-26-cu-ft-French-Door-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-WRX986SIHZ/302693556,3419.0,3799.0,380.0,10.0,4.7,2490,1883,437,100,24,46
Whirlpool,19.2 cu. ft. Top Freezer Refrigerator in Monochromatic Stainless Steel,Model # WRT519SZDM,https://www.homedepot.com/p/Whirlpool-19-2-cu-ft-Top-Freezer-Refrigerator-in-Monochromatic-Stainless-Steel-WRT519SZDM/205730775,988.0,1099.0,111.0,10.1,4.3,1539,820,457,119,54,89
Whirlpool,"24 in. 11.6 cu. ft. Top Freezer Refrigerator in Fingerprint Resistant Stainless Finish, Counter Depth",Model # WRT112CZJZ,https://www.homedepot.com/p/Whirlpool-24-in-11-6-cu-ft-Top-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Finish-Counter-Depth-WRT112CZJZ/311770871,548.0,699.0,151.0,21.6,3.9,1248,645,269,88,50,196
Whirlpool,18.2 cu. ft. Top Freezer Refrigerator in Black,Model # WRT318FMDB,https://www.homedepot.com/p/Whirlpool-18-2-cu-ft-Top-Freezer-Refrigerator-in-Black-WRT318FMDB/205721798,854.0,949.0,95.0,10.01,4.14,671,361,163,75,25,47
Whirlpool,18.25 cu. ft. Top Freezer Built-In and Standard Refrigerator in White,Model # WRT108FFDW,https://www.homedepot.com/p/Whirlpool-18-25-cu-ft-Top-Freezer-Built-In-and-Standard-Refrigerator-in-White-WRT108FFDW/317995258,809.0,899.0,90.0,10.01,4.6,7,5,1,1,0,0
Whirlpool,25 cu. ft. French Door Refrigerator in White with Internal Water Dispenser,Model # WRF535SWHW,https://www.homedepot.com/p/Whirlpool-25-cu-ft-French-Door-Refrigerator-in-White-with-Internal-Water-Dispenser-WRF535SWHW/301857916,2069.0,2299.0,230.0,10.0,4.7,5597,3963,1282,267,44,41
Whirlpool,18.25 cu. ft. Top Freezer Built-In and Standard Refrigerator in Black,Model # WRT138FFDB,https://www.homedepot.com/p/Whirlpool-18-25-cu-ft-Top-Freezer-Built-In-and-Standard-Refrigerator-in-Black-WRT138FFDB/318258402,854.0,949.0,95.0,10.01,4.7,8,5,3,0,0,0
Whirlpool,"24 in. 11.6 cu. ft. Top Freezer Refrigerator in Fingerprint Resistant Stainless, Counter Depth",Model # WRT312CZJZ,https://www.homedepot.com/p/Whirlpool-24-in-11-6-cu-ft-Top-Freezer-Refrigerator-in-Fingerprint-Resistant-Stainless-Counter-Depth-WRT312CZJZ/312281651,674.0,749.0,75.0,10.01,2.5,14,4,0,2,0,8
Whirlpool,14.3 cu. ft. Top Freezer Refrigerator in White,Model # WRT134TFDW,https://www.homedepot.com/p/Whirlpool-14-3-cu-ft-Top-Freezer-Refrigerator-in-White-WRT134TFDW/205584082,719.0,799.0,80.0,10.01,4.2,265,147,68,21,6,23
Whirlpool,"24 in. 11.6 cu. ft. Top Freezer Refrigerator in White, Counter Depth, ENERGY STAR",Model # WRT312CZJW,https://www.homedepot.com/p/Whirlpool-24-in-11-6-cu-ft-Top-Freezer-Refrigerator-in-White-Counter-Depth-ENERGY-STAR-WRT312CZJW/312281168,629.0,699.0,70.0,10.01,2.12,24,4,3,1,0,16
Whirlpool,18.25 cu. ft. Top Freezer Built-In and Standard Refrigerator in Monochromatic Stainless Steel,Model # WRT138FFDM,https://www.homedepot.com/p/Whirlpool-18-25-cu-ft-Top-Freezer-Built-In-and-Standard-Refrigerator-in-Monochromatic-Stainless-Steel-WRT138FFDM/317992817,944.0,1049.0,105.0,10.01,3.5,4,2,0,1,0,1
Whirlpool,"36 in. 19.8 cu. ft. Side by Side Refrigerator in Fingerprint Resistant Stainless Steel, Counter Depth",Model # WRS970CIHZ,https://www.homedepot.com/p/Whirlpool-36-in-19-8-cu-ft-Side-by-Side-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Counter-Depth-WRS970CIHZ/311774553,2799.0,2799.0,0.0,0.0,4.3,22,14,3,2,2,1
Whirlpool,"21 cu. ft. Side by Side Refrigerator in Fingerprint Resistant Stainless Steel, Counter Depth",Model # WRSA71CIHZ,https://www.homedepot.com/p/Whirlpool-21-cu-ft-Side-by-Side-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Counter-Depth-WRSA71CIHZ/302967695,2099.0,2099.0,0.0,0.0,4.09,138,58,48,21,8,3
Whirlpool,16 cu. ft. Top Freezer Refrigerator in Monochromatic Stainless Steel,Model # WRT316SFDM,https://www.homedepot.com/p/Whirlpool-16-cu-ft-Top-Freezer-Refrigerator-in-Monochromatic-Stainless-Steel-WRT316SFDM/205587247,899.0,999.0,100.0,10.01,4.33,203,111,69,10,6,7
Whirlpool,"36 in. 22.6 cu. ft. Side by Side Refrigerator in Fingerprint Resistant Stainless Steel, Counter Depth",Model # WRS973CIHZ,https://www.homedepot.com/p/Whirlpool-36-in-22-6-cu-ft-Side-by-Side-Refrigerator-in-Fingerprint-Resistant-Stainless-Steel-Counter-Depth-WRS973CIHZ/311771923,2899.0,2899.0,0.0,0.0,3.74,34,16,8,2,1,7
Whirlpool,36 in. 24.6 cu. ft. Side by Side Refrigerator in Biscuit,Model # WRS315SDHT,https://www.homedepot.com/p/Whirlpool-36-in-24-6-cu-ft-Side-by-Side-Refrigerator-in-Biscuit-WRS315SDHT/310813210,1599.0,1599.0,0.0,0.0,4.4,2352,1349,677,258,39,29
Whirlpool,26 cu. ft. Side by Side Refrigerator in Monochromatic Stainless Steel,Model # WRS586FIEM,https://www.homedepot.com/p/Whirlpool-26-cu-ft-Side-by-Side-Refrigerator-in-Monochromatic-Stainless-Steel-WRS586FIEM/205869871,2099.0,2099.0,0.0,0.0,4.3,240,140,59,21,8,12
Whirlpool,21.3 cu. ft. Top Freezer Refrigerator in Fingerprint Resistant Black Stainless,Model # WRT541SZHV,https://www.homedepot.com/p/Whirlpool-21-3-cu-ft-Top-Freezer-Refrigerator-in-Fingerprint-Resistant-Black-Stainless-WRT541SZHV/302964521,1214.0,1349.0,135.0,10.01,4.4,51,37,6,2,0,6
Whirlpool,19.2 cu. ft. Top Freezer Refrigerator in Black,Model # WRT549SZDB,https://www.homedepot.com/p/Whirlpool-19-2-cu-ft-Top-Freezer-Refrigerator-in-Black-WRT549SZDB/205745314,944.0,1049.0,105.0,10.01,4.14,321,162,99,27,10,23
