product_brand,product_title,product_model,product_url,product_price,product_price_original,product_discount,product_discount_percentage,product_rating_average,product_reviews_number,product_rating_5,product_rating_4,product_rating_3,product_rating_2,product_rating_1
Sealy,Posturepedic Spring Netherton 13 in. Medium Memory Foam Faux Top Full Mattress Set with 9 in. High Foundation,Model # 42957940,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Netherton-13-in-Medium-Memory-Foam-Faux-Top-Full-Mattress-Set-with-9-in-High-Foundation-42957940/317666471,1029.0,1029.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Engelmann 11 in. Ultra Firm Memory Foam Tight Top Twin Mattress Set with 9 in. High Foundation,Model # 42958730,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Engelmann-11-in-Ultra-Firm-Memory-Foam-Tight-Top-Twin-Mattress-Set-with-9-in-High-Foundation-42958730/317666494,1074.0,1074.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Plus 13 in. Medium Memory Innerspring Tight Top Queen Mattress Set,Model # 42767651,https://www.homedepot.com/p/Sealy-Posturepedic-Plus-13-in-Medium-Memory-Innerspring-Tight-Top-Queen-Mattress-Set-42767651/315094926,1199.0,1199.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Netherton 12 in. Firm Memory Foam Tight Top Full Mattress Set with 9 in. High Foundation,Model # 42957140,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Netherton-12-in-Firm-Memory-Foam-Tight-Top-Full-Mattress-Set-with-9-in-High-Foundation-42957140/317666474,879.0,879.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Netherton 12 in. Medium Memory Foam Tight Top Queen Mattress Set with 9 in. High Foundation,Model # 42957351,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Netherton-12-in-Medium-Memory-Foam-Tight-Top-Queen-Mattress-Set-with-9-in-High-Foundation-42957351/317666444,899.0,899.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Engelmann 11 in. Ultra Firm Memory Foam Tight Top Full Mattress,Model # 52958740,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Engelmann-11-in-Ultra-Firm-Memory-Foam-Tight-Top-Full-Mattress-52958740/317666262,1753.74,1753.74,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Rockwell Estate 14.5 in. Luxury Firm Memory Foam Tight Top Queen Mattress Set,Model # 42797851,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Rockwell-Estate-14-5-in-Luxury-Firm-Memory-Foam-Tight-Top-Queen-Mattress-Set-42797851/320152245,2549.0,2549.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Netherton 14 in. Medium Memory Foam Pillow Top Queen Mattress Set with 9 in. High Foundation,Model # 42958351,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Netherton-14-in-Medium-Memory-Foam-Pillow-Top-Queen-Mattress-Set-with-9-in-High-Foundation-42958351/317666482,1149.0,1149.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Pollock Lux Estate 16 in. Luxury Ultra Plush Memory Foam Hybrid Full Mattress Set,Model # 42799040,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Pollock-Lux-Estate-16-in-Luxury-Ultra-Plush-Memory-Foam-Hybrid-Full-Mattress-Set-42799040/320160002,3849.0,3849.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Pollock Lux Estate 15 in. Luxury Plush Memory Foam Hybrid Twin X-long Mattress Set,Model # 42798931,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Pollock-Lux-Estate-15-in-Luxury-Plush-Memory-Foam-Hybrid-Twin-X-long-Mattress-Set-42798931/320159991,3524.0,3524.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Pollock Lux Estate 15 in. Luxury Plush Memory Foam Hybrid California King Mattress Set,Model # 42798962,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Pollock-Lux-Estate-15-in-Luxury-Plush-Memory-Foam-Hybrid-California-King-Mattress-Set-42798962/320159996,4449.0,4449.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Pollock Lux Estate 16 in. Luxury Ultra Plush Memory Foam Hybrid Queen Mattress Set,Model # 42799051,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Pollock-Lux-Estate-16-in-Luxury-Ultra-Plush-Memory-Foam-Hybrid-Queen-Mattress-Set-42799051/320160008,3899.0,3899.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Pollock Lux Estate 16 in. Luxury Ultra Plush Memory Foam Hybrid Twin X-long Mattress Set,Model # 42799031,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Pollock-Lux-Estate-16-in-Luxury-Ultra-Plush-Memory-Foam-Hybrid-Twin-X-long-Mattress-Set-42799031/320160017,3724.0,3724.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Pollock Lux Estate 16 in. Luxury Ultra Plush Memory Foam Hybrid California King Mattress Set,Model # 42799062,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Pollock-Lux-Estate-16-in-Luxury-Ultra-Plush-Memory-Foam-Hybrid-California-King-Mattress-Set-42799062/320160018,4649.0,4649.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Netherton 13 in. Firm Memory Foam Faux Top California King Mattress Set with 9 in. High Foundation,Model # 42957762,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Netherton-13-in-Firm-Memory-Foam-Faux-Top-California-King-Mattress-Set-with-9-in-High-Foundation-42957762/317666456,1449.0,1449.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,Posturepedic Spring Netherton 12 in. Medium Memory Foam Tight Top Full Mattress Set with 9 in. High Foundation,Model # 42957340,https://www.homedepot.com/p/Sealy-Posturepedic-Spring-Netherton-12-in-Medium-Memory-Foam-Tight-Top-Full-Mattress-Set-with-9-in-High-Foundation-42957340/317666441,879.0,879.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Rockwell Estate 14.5 in. Luxury Firm Memory Foam Tight Top Cal King Mattress Set,Model # 42797862,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Rockwell-Estate-14-5-in-Luxury-Firm-Memory-Foam-Tight-Top-Cal-King-Mattress-Set-42797862/320152212,3249.0,3249.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Rockwell Estate 14.5 in. Luxury Plush Memory Foam Tight Top Full Mattress Set,Model # 42797940,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Rockwell-Estate-14-5-in-Luxury-Plush-Memory-Foam-Tight-Top-Full-Mattress-Set-42797940/320152222,2449.0,2449.0,0.0,0.0,0.0,0,0,0,0,0,0
Sealy,STEARNS & FOSTER Rockwell Estate 14.5 in. Luxury Firm Memory Foam Tight Top Twin X-long Mattress Set,Model # 42797831,https://www.homedepot.com/p/Sealy-STEARNS-FOSTER-Rockwell-Estate-14-5-in-Luxury-Firm-Memory-Foam-Tight-Top-Twin-X-long-Mattress-Set-42797831/320152205,2324.0,2324.0,0.0,0.0,0.0,0,0,0,0,0,0
